id,pred,gt,meta
0nPx8s_8glg,(B) The glass window of the modern building.,(C) The glass wall of the modern building.,"{'video_id': '0nPx8s_8glg', 'clip_id': '0nPx8s_8glg-Scene-047', 'question': 'What is this reflective surface?', 'hint': ""In the video, there is a reflective surface that showcases indoor lighting and displays a silhouette against an architectural interior with a high ceiling and spacious design. The camera's rotation provides views of urban architecture through this surface, including adjacent buildings and structures. This surface changes the lighting effects as the camera moves, creating different backlight situations."", 'multiple_choice': ['The mirror placed on the wall of the modern building.', 'The glass window of the modern building.', 'The glass wall of the modern building.', 'The polished metal surface the modern building.'], 'multiple_choice_answer': 'The glass wall of the modern building.', 'open_answer': 'The answer is the glass of modern building.', 'scene_description': 'The clip is a first-person perspective with the camera rotating to display the environment. It begins indoors with a reflective glass background, showing indoor lighting and the silhouette of the person holding the camera against an architectural interior, possibly within a modern building with a high ceiling and spacious design. As the camera pans, we see more of the surrounding area, including views of adjacent buildings and structures through the glass. The outdoor backdrop features urban architecture, with skyscrapers and clear skies. The lighting changes as the camera moves, highlighting different backlight effects on the subject. The color palette is neutral with hints of blue from the sky and grey from the urban environment. The voice-over discusses the video quality and stabilization features of the iPhone 12 Pro, mentioning the glowing effect on skin tone and backlight performance in low light conditions.'}"
-jYv972vuG0,(A) For making chocolate bars and to add flavors to the chocolate.,(B) For candy making and to add colors to the candies.,"{'video_id': '-jYv972vuG0', 'clip_id': '-jYv972vuG0-Scene-005', 'question': 'Can you tell me what these items are that are being used?', 'hint': 'In the video, the hands are seen picking up red-colored and white-colored bags and showing these two sealed pack to the camera.', 'multiple_choice': ['For making chocolate bars and to add flavors to the chocolate.', 'For candy making and to add colors to the candies.', 'For making cookies and to add sprinkles to the cookies.', 'For storing lollipop sticks and preventing them from breaking.'], 'multiple_choice_answer': 'For candy making and to add colors to the candies.', 'open_answer': 'The answer is for lollipops or candy making and to add colors to the lollipops/candies.', 'scene_description': ""The clip opens with a close-up view of a kitchen counter workspace where the process of making lollipops is taking place. There are multiple metal bowls arranged on the counter; one has red candy melts visible, while the others are not clearly shown. A hand appears, placing some red candy melts in the foreground, picked from a green plastic bowl filled with similar candy melts. The hand then picks up a sealed pack of candy melts, showing it to the camera. The package is labeled 'Candy Melts' with 'Red' indicated, suggesting different colors are being used for the lollipops. The lighting is bright and even, illuminating the workspace without any harsh shadows. The overall color palette is quite neutral with pops of color from the candy melts.""}"
-jYv972vuG0,"(A) Spectacles. From the video, it appears that the person is holding a set of plastic glasses in their hand and placing them on top of a clear glass mold that appears to have shapes of objects cut out of it. From the detail of the hands working on the mold, it appears that they are shaping the objects. Therefore, it is most likely that the object being referenced is the plastic glasses.",(A) Spectacles.,"{'video_id': '-jYv972vuG0', 'clip_id': '-jYv972vuG0-Scene-013', 'question': 'What dose the object look like that is being referenced here?', 'hint': 'In the video, there is a close-up of hands working on a clear, flat surface with a brightly lit environment casting soft shadows. A person is seen pointing to a substance in a circular motion on top of already set, vividly colored melts that fill the shaped recesses of a mold. Each mold contains two cavities in the shape of an object, with one cavity filled with a deep red and the other with turquoise blue melts.', 'multiple_choice': ['Spectacles.', 'Colorful bow ties.', 'Traffic lights.', 'Number 8.'], 'multiple_choice_answer': 'Spectacles.', 'open_answer': 'The answer is spectacles or glasses or sunglasses.', 'scene_description': ""The video clip features a close-up of a person's hands working on a clear, flat surface. The hands are seen piping white candy melts on top of already set red and blue candy melts that fill the shaped recesses of a lollypop mold. Each mold contains two cavities in the shape of glasses with one cavity filled with red and the other with blue candy melts. The environment is brightly lit, casting soft shadows on the surface. The piping bag is gently squeezing out the white candy melt in a circular motion to cover the entire surface of the blue and red melts. The white candy melt acts as an adhesive for the lollypop sticks that are placed vertically onto each cavity. The sticks are laid carefully by hand on top of the still-molten white candy layer. The colors are vivid, with a contrast between the creamy white and the deep red and turquoise blue.""}"
-jYv972vuG0,(B) A black spoon with a narrow tip.,(A) A piping bag.,"{'video_id': '-jYv972vuG0', 'clip_id': '-jYv972vuG0-Scene-019', 'question': 'What is this tool that is being utilized to dispense a dark substance?', 'hint': ""In the video, there is a person using a particular tool for detailed work. The person's hands are steady, indicating experience or skill with this type of activity. This tool is essential in the creation of the shape of a beard being formed on the kitchen paper-lined tray."", 'multiple_choice': ['A piping bag.', 'A black spoon with a narrow tip.', 'A squeeze bottle.', 'A black spatula.'], 'multiple_choice_answer': 'A piping bag.', 'open_answer': 'The answer is a piping bag.', 'scene_description': ""A person is using a piping bag to dispense a dark, viscous substance onto a parchment paper-lined tray. The substance, likely melted chocolate, is being carefully guided to form three distinct shapes: glasses, a bow tie, and a mustache. The person's hands are steady as they maneuver the squeeze bottle with precision. The environment appears to be a kitchen counter, and the lighting is even and bright, suggesting an indoor setting with sufficient overhead lighting. The person's left hand is wearing a ring, indicating they might be married. The squeeze bottle has a narrow tip for detailed work. The chocolate is glossy and dark brown, contrasting with the white parchment paper. A wooden stick lies parallel to the forming chocolate shapes, possibly used to create lollipop handles later in the process.""}"
-jYv972vuG0,(B) Three.,(B) Three.,"{'video_id': '-jYv972vuG0', 'clip_id': '-jYv972vuG0-Scene-026', 'question': 'How many completed chocolate lollipops with colorful handles are removed from the molds in one time?', 'hint': 'In the video, there are edible creations with shiny texture made of dark brown chocolate, contrasted against the light table surface. The person carefully removes them from molds which are not visible.', 'multiple_choice': ['Two.', 'Three.', 'Six.', 'Ten.'], 'multiple_choice_answer': 'Three.', 'open_answer': 'The answer is three.', 'scene_description': ""In the video, a person's hands are seen demolding chocolate creations on a light-colored table. The environment is likely a kitchen or a workspace due to the cleanliness and simplicity of the background. The person carefully removes chocolate shapes resembling 3D glasses, bow ties, and mustaches from their molds, which are not visible in the frames. The chocolates are dark brown, almost black in color, contrasting with the light table surface. Two completed chocolate lollipops with colorful handles suggesting 3D glasses lie to the left, implying previous work. White lollipop sticks are placed beside each chocolate shape, indicating they will be attached to create lollipops. The lighting is bright and even, highlighting the shiny texture of the chocolate. It appears to be an instructional or DIY segment showing viewers how to make themed edible crafts.""}"
-bJjPR3OBuk,(B) Beef steak.,(A) Raw ribs.,"{'video_id': '-bJjPR3OBuk', 'clip_id': '-bJjPR3OBuk-Scene-004', 'question': 'What is the object receiving this mixture of spices?', 'hint': 'In the video, a mixture of seasonings is applied to an object. This includes coarse salt, ground black pepper, garlic powder, cayenne powder, and smoked paprika creating a colorful mosaic. A hand then thoroughly massages these spices into the surface of this item, ensuring it is well-coated.', 'multiple_choice': ['Raw ribs.', 'Beef steak.', 'Chicken wings.', 'Chicken legs.'], 'multiple_choice_answer': 'Raw ribs.', 'open_answer': 'The answer is raw ribs.', 'scene_description': ""In a domestic kitchen setting, raw ribs are placed inside a transparent glass bowl on a dark countertop. The sequence starts with someone sprinkling coarse salt on the ribs, which are pale and raw. The next addition is ground black pepper, creating a contrast with its dark granules against the meat's surface. Garlic powder follows, dusting the ribs with its fine, light beige color. A vibrant orange hue enters the scene as cayenne powder is sprinkled over, followed by a deep red layer of smoked paprika. The spices create a colorful mosaic on the pale ribs. A hand then appears, massaging and rubbing the mixture of spices into the meat thoroughly, ensuring each rib is well-coated. The environment is warmly lit, emphasizing the rich colors of the spices and creating a homely cooking atmosphere.""}"
-bJjPR3OBuk,"(B) The pressure release valve on the instant pot's lid. The video shows the person manipulating the pressure release valve with tongs, which is an important component of the cooking process. The pressure release valve controls the pressure inside the instant pot, and it's an essential feature for proper cooking.",(B) The pressure release valve on the instant pot's lid.,"{'video_id': '-bJjPR3OBuk', 'clip_id': '-bJjPR3OBuk-Scene-011', 'question': 'What is this item that is being manipulated in the video?', 'hint': ""In the video, there's close-up that an item is turned with the use of tongs. This item seems to be a critical component of the cooking process and is located on the lid of the device. It's directly involved in the control mechanism of the device."", 'multiple_choice': ['The steam vent on a rice cooker lid.', ""The pressure release valve on the instant pot's lid."", 'The pressure gauge on a stovetop pressure cooker lid.', 'The temperature control knob on a slow cooker lid.'], 'multiple_choice_answer': ""The pressure release valve on the instant pot's lid."", 'open_answer': ""The answer is the pressure release valve on the instant pot's lid."", 'scene_description': ""The video shows a close-up of an Instant Pot's black lid, focusing on the pressure release valve and the float valve. The environment appears to be a kitchen, indicated by the wall outlet in the background. The pot sits on a yellow countertop. As the voice-over explains the process of quick pressure release, we see tongs approach the valve from off-screen and turn it from sealing to venting, which causes steam to release. This is an instructional video demonstrating a step in the cooking process. The lighting is steady and bright, highlighting the pot's lid and the steam release. The colors are mostly black and yellow, with a stainless steel pot that reflects the light. There are safety warning labels visible on either side of the pot's lid.""}"
-bJjPR3OBuk,(A) A electric cooker called Midea MY-SS6062.,(D) A pressure cooker called an Instant Pot.,"{'video_id': '-bJjPR3OBuk', 'clip_id': '-bJjPR3OBuk-Scene-016', 'question': 'What is this appliance?', 'hint': ""In the video, there is a sleek kitchen appliance with a digital interface. The user interacts with it by pressing an 'Adjust' button. Inside this appliance, a dark, rich barbecue sauce is being poured and meaty ribs are being placed and turned."", 'multiple_choice': ['A electric cooker called Midea MY-SS6062.', 'A multi-functional cooker called Tiger JAX-T.', 'A fast cooker called a Panasonic Crockpot.', 'A pressure cooker called an Instant Pot.'], 'multiple_choice_answer': 'A pressure cooker called an Instant Pot.', 'open_answer': 'The answer is a pressure cooker called an Instant Pot.', 'scene_description': ""The clip starts with a close-up of the Instant Pot's digital interface showing 'Saute' function activated. The pot is well-lit, emphasizing its sleek design and the user's finger pressing the 'Adjust' button. The scene shifts to inside the pot where a dark, rich barbecue sauce is poured in. We see the glossy, deep red-brown sauce at the bottom of the stainless steel pot. Tongs are used to lower meaty ribs into the pot, coated in sauce. The ribs are turned and basted, ensuring they're fully covered in the sticky mixture. Steam rises as the sauce starts to bubble, indicating that heat is intensifying. The environment appears to be a home kitchen with warm, focused lighting over the pot, creating a cozy ambiance. The tongs and ribs are both shiny and dripping with sauce which has a sticky, viscous texture.""}"
-bJjPR3OBuk,"(A) A high-speed, white blender. Based on the video, it is clear that the kitchen appliance being used is a high-speed blender, and it has a white base. There is no mention of a stop/start button, and there is no sign of any other buttons or controls. The only other item shown in the video is a white plate with ribs on it, and the blender seems to be preparing the sauce for the ribs.","(D) A modern, black food processor.","{'video_id': '-bJjPR3OBuk', 'clip_id': '-bJjPR3OBuk-Scene-023', 'question': 'What is this kitchen appliance?', 'hint': ""In the video, there is a modern kitchen appliance with a digital display that is being operated by a pair of hands. The digital screen displays a number '60'. The appliance has a stop/start button."", 'multiple_choice': ['A high-speed, white blender.', 'A stainless steel, grey stand mixer.', 'A black, retro juicer.', 'A modern, black food processor.'], 'multiple_choice_answer': 'A modern, black food processor.', 'open_answer': 'The answer is a modern, black food processor.', 'scene_description': ""The clip opens with a close-up of a pressure cooker; steam escapes as the lid is lifted, revealing a tomato-based dish with seafood, possibly shrimp, inside. The environment suggests a home kitchen setting with typical household lighting. The cooker is placed on a granite countertop. Transitioning to the next shot, hands are seen pressing buttons on a modern, black food processor with digital display; they press the '60' second button and the 'Auto-iQ Boost YES' function. The final shot shows hands holding up spiralized zucchini noodles, demonstrating the result of using an attachment of the food processor. The countertop is cluttered with various parts of the appliance and instructional materials. The focus is on the ease and functionality of kitchen gadgets in cooking processes.""}"
3N0enH_LllM,"(A) To simulate a winter-themed video game environment. Based on the video, the artificial snow environment in this scene is used to simulate a winter-themed video game environment. There is a controlled setup meant to mimic outdoor winter conditions with a backdrop of a snowy landscape, fake boulders, and two individuals dressed in winter clothing seated on stumps.",(D) To create a realistic winter atmosphere for the film or photo shoot.,"{'video_id': '3N0enH_LllM', 'clip_id': '3N0enH_LllM-Scene-011', 'question': 'What is the purpose of the artificial snow environment in this scene?', 'hint': 'In the video, there is a controlled setup meant to mimic outdoor winter conditions with a backdrop of a snowy landscape, fake boulders, and two individuals dressed in winter clothing seated on stumps.', 'multiple_choice': ['To simulate a winter-themed video game environment.', 'To provide a natural landscape for the stage show.', 'To test the durability of winter clothing in extreme conditions.', 'To create a realistic winter atmosphere for the film or photo shoot.'], 'multiple_choice_answer': 'To create a realistic winter atmosphere for the film or photo shoot.', 'open_answer': 'The answer is to create a realistic winter atmosphere for the film or photo shoot.', 'scene_description': ""The video begins showing a behind-the-scenes setup of a staged winter scene with actors and artificial snow, implying a film or photo shoot. There's a backdrop of a snowy landscape, while the foreground has large, fake boulders and two individuals dressed in winter clothing, seated on stumps. The environment looks like a studio with controlled lighting to mimic outdoor conditions. The next frame features an individual in front of a blurred screen displaying a fireplace, seated at a desk that hosts various items including a computer monitor. The final frames showcase an animated graphic contrasting 'Life with focus' against 'Life with depth.' These graphics use layers of images and virtual camera lines to illustrate the difference between standard camera focus and depth imaging technology.""}"
3N0enH_LllM,"(A) A fingerprint sensor. Based on the video, the circular element on the phone's back is likely a fingerprint sensor. The video shows the phone's screen displaying the time '9:06' and battery icon, indicating that it is a digital device, which further supports the idea of a fingerprint sensor. The close-up of the white circular element with other circular elements is also suggestive of a fingerprint sensor.",(B) A flash light.,"{'video_id': '3N0enH_LllM', 'clip_id': '3N0enH_LllM-Scene-029', 'question': 'What is this circular element likely to be?', 'hint': ""In the video, there is a close-up of a white phone, showing the time '9:06' and battery icon on the screen. On the phone's back, a speicial part of phone is focused, which is described as a white circular element with other circular elements beside."", 'multiple_choice': ['A fingerprint sensor.', 'A flash light.', 'A camera len.', 'A wireless charging port.'], 'multiple_choice_answer': 'A flash light.', 'open_answer': 'The answer is a flash light.', 'scene_description': ""The clip begins by highlighting the phone's display with a close-up on the status bar, showing the time '9:06' and battery icon, which suggests simplicity and minimalism. The frame then transitions to a side view of the phone, emphasizing its sleek profile and possibly metal construction. The third frame focuses on a detail of the phone's back, specifically a circular element that could be a fingerprint sensor, hinting at the phone's security features. All frames feature a soft, white background that enhances the product's clean design. The color scheme is monochromatic, mostly white and gray tones, reflecting a minimalist aesthetic. There are no characters or action in these frames; it's entirely product-focused with subtle shadows that give depth to the object.""}"
3N0enH_LllM,"(C) Microsoft Edge. Based on the video, it is clear that the person on the screen is using Microsoft Edge as the browser on their phone. The browser has a dark background, which is typical of Microsoft Edge, and the icons and layout of the browser's interface match those seen on a Windows computer running Microsoft Edge. The glossy surface of the device's screen and the bright lighting conditions also contribute to the clarity of the video and the visibility of the browser on the",(A) Google Chrome.,"{'video_id': '3N0enH_LllM', 'clip_id': '3N0enH_LllM-Scene-043', 'question': 'What is the name of the browser that is visible on the phone screen?', 'hint': 'In the video, there is a focus on a certain device with a screen displaying various applications and an interface. It has a dark wallpaper with geometric shapes and is placed on a glossy surface, indicated by the reflection below it. The light is bright and even, enhancing the visibility of the screen which has icons of applications.', 'multiple_choice': ['Google Chrome.', 'Safari.', 'Microsoft Edge.', 'Mozilla Firefox.'], 'multiple_choice_answer': 'Google Chrome.', 'open_answer': 'The answer is Google Chrome.', 'scene_description': ""The video clip features close-up views of a smartphone's screen displaying its interface, with icons for Google and various applications visible. The screen has a dark wallpaper with geometric shapes. The light is bright and even, enhancing the screen's visibility. There's a reflection below the phone, indicating it's placed on a glossy surface. Subsequently, there is an indoor shot showing a person in a gray hoodie and black vest sitting in front of a monitor displaying a fire animation, giving a cozy ambiance to the room. The background is out of focus, highlighting the subject and monitor.""}"
3N0enH_LllM,(B) A smartphone with multiple rear cameras.,(A) A smartphone with modular plug-in components.,"{'video_id': '3N0enH_LllM', 'clip_id': '3N0enH_LllM-Scene-060', 'question': 'What is special for this phone?', 'hint': ""In the video, there's an phone that showcases innovative technology. A man dressed in blue takes this phone with black and white colors out from his trouser pocket and shoots videos or photos with it to showcase the ability of the camera."", 'multiple_choice': ['A smartphone with modular plug-in components.', 'A smartphone with multiple rear cameras.', 'A smartphone with a camera having ultra-long focal length.', 'A smartphone with a foldable screen.'], 'multiple_choice_answer': 'A smartphone with modular plug-in components.', 'open_answer': 'The answer is a modular smartphone concept/a modular phone.', 'scene_description': ""The video clip displays close-up views of a modular smartphone concept, showcasing its customizable parts. A person's hands are seen interacting with the device, which consists of various modules that can be attached or detached, such as camera, speaker, and additional modules. The environment appears to be outdoors with natural daylight. The hands work deftly to remove and replace pieces of the phone, demonstrating the phone's modularity. The modules have different textures and colors—metallic, matte black, and a wooden finish—indicating customization options. Blurred background suggests the focus is on the phone's capabilities and design. There's a sense of innovation and personalization emphasized by the unique functionality of the modular design.""}"
0v9UKnFakfY,(A) The vaulting horse.,(A) The vaulting horse.,"{'video_id': '0v9UKnFakfY', 'clip_id': '0v9UKnFakfY-Scene-002', 'question': 'Can you tell me what this specific piece of equipment is called?', 'hint': ""In the video, there is a moment where a gymnast approaches a piece of equipment that is central to her performance. It's described as being red and gray, with blue mats surrounding it. The gymnast uses a powerful run up towards this equipment before executing a skillful move involving two twists in mid-air."", 'multiple_choice': ['The vaulting horse.', 'The floor exercise mat.', 'The balance beam.', 'The uneven bars.'], 'multiple_choice_answer': 'The vaulting horse.', 'open_answer': 'The answer is the vaulting table/vaulting horse.', 'scene_description': 'The video features a female gymnast, Lauren Mitchell, at the Delhi 2010 Commonwealth Games. She is wearing a teal and white leotard with her hair in a neat bun, secured by a hairnet. As she performs, the environment showcases a vibrant, bustling sports hall with various officials, cameras, and audiences in the background. The gymnast executes a powerful run up towards the vault table, which is red and gray with blue mats surrounding it. The lighting in the hall is bright and even, highlighting the athletes and equipment. She performs a skilled vault with two twists in mid-air before landing. Officials, wearing navy suits and white shirts, attentively watch her performance. The colors in the scene are vivid, with the teal of her leotard contrasting against the red of the equipment.'}"
0v9UKnFakfY,"(D) Commonwealth Games, Delhi 2010.","(D) Commonwealth Games, Delhi 2010.","{'video_id': '0v9UKnFakfY', 'clip_id': '0v9UKnFakfY-Scene-003', 'question': 'What is the name of the event being depicted in the video as per the signage?', 'hint': 'In the video, there is an event taking place that is indicated by colorful signage. This event features athletes from various Commonwealth countries competing in different sports. The signage has the name of a city and a year on it, marking the specific occasion.', 'multiple_choice': ['Olympic Games, Beijing 2008.', 'Pan American Games, Rio 2007.', 'World Championships, London 2012.', 'Commonwealth Games, Delhi 2010.'], 'multiple_choice_answer': 'Commonwealth Games, Delhi 2010.', 'open_answer': 'The answer is the Commonwealth Games, Delhi 2010.', 'scene_description': ""The scene opens with a gymnast in a teal and white leotard with golden embellishments, poised to begin her routine. The arena has vibrant, colorful signage with 'Delhi 2010' denoting the event as the Commonwealth Games. She exhibits a unique stride, different from typical gymnastic approaches, while the commentator notes it is effective. As she takes off, there's a swift transition to a wide shot capturing her in mid-air performing a vault. The lighting is bright, highlighting her and the apparatus, with flashes from photography adding to the atmosphere. The gymnast displays powerful athleticism and grace. Spectators are blurred in the background, focusing our attention on her performance. Her landing is unseen, but the commentator's mention of a 'grateful lift' suggests a successful execution.""}"
0v9UKnFakfY,"(A) The vault event in gymnastics. The athlete is performing a routine that involves swinging motions, releases, and regrasps, moving from one bar to the other with precision while wearing a leotard with sparkly motifs. The color of the leotard and the presence of a vaulting horse suggest that the athlete is participating in the vault event.",(D) The uneven bars event in gymnastics.,"{'video_id': '0v9UKnFakfY', 'clip_id': '0v9UKnFakfY-Scene-005', 'question': 'What event is this athlete participating in?', 'hint': 'In the video, a gymnast is performing a routine that includes swinging motions, releases, and regrasps, moving from one bar to the other with precision while wearing a leotard with sparkly motifs.', 'multiple_choice': ['The vault event in gymnastics.', 'The balance beam event in gymnastics.', 'The floor exercise event in gymnastics.', 'The uneven bars event in gymnastics.'], 'multiple_choice_answer': 'The uneven bars event in gymnastics.', 'open_answer': 'The answer is the uneven bars event in gymnastics.', 'scene_description': 'The scene takes place in an indoor gymnastics arena during the 2010 Commonwealth Games in Delhi, as indicated by the banners. A gymnast in a white and blue leotard with sparkly motifs performs on the uneven bars, executing a routine that includes swinging motions, releases, and regrasps. The athlete displays great skill and control, moving from one bar to the other with precision. The gym is equipped with standard gymnastics apparatus and mats, with sparse audience visible in the stands. The lighting is bright, focusing on the apparatus area. There are officials and other personnel standing by. The colors in the scene include the red of the mats and the vivid hues of the various national flags displayed around the arena.'}"
0v9UKnFakfY,(A) India. ,(C) Australia.,"{'video_id': '0v9UKnFakfY', 'clip_id': '0v9UKnFakfY-Scene-006', 'question': 'What is the name of the country that is leading on this scoreboard?', 'hint': ""In the video, there's a moment where the focus is on the scoreboard displaying the standings of the women's team final at the Commonwealth Games. The leading country is visible along with two other countries following. The scoreboard seems to be a digital display with clear and legible text, providing real-time updates to the audience and athletes in attendance."", 'multiple_choice': ['India.', 'England.', 'Australia.', 'Canada.'], 'multiple_choice_answer': 'Australia.', 'open_answer': 'The answer is Australia.', 'scene_description': ""The clip showcases a gymnast performing on the uneven bars at the Commonwealth Games. The athlete swings confidently, transitioning into a handstand followed by a half turn into a double front dismount. Despite a large step upon landing, the performance is deemed confident. The environment is an indoor sports arena with seating, professional lighting, and Commonwealth Games branding visible. The scoreboard reflects the women's team final standings with Australia leading, followed by England and Canada. The lighting is bright and focused on the apparatus area, while the spectator seats are dimly lit. The gymnast wears a light-colored leotard with hair tied back, ensuring safety and freedom of movement during the routine. The final frame shows athletes in team attire awaiting results, visibly displaying their team emblems.""}"
1CRnvUZEzGY,(A) The person is driving the car and filming the road.,(A) The person is driving the car and filming the road.,"{'video_id': '1CRnvUZEzGY', 'clip_id': '1CRnvUZEzGY-Scene-010', 'question': 'What could be the possible reason behind this kind of scenes?', 'hint': 'In the video, it mentions scenes contains quick, blurred transitions inside a vehicle that indicates either rapid movement or a shift.', 'multiple_choice': ['The person is driving the car and filming the road.', 'The person is sitting in the backseat of the car and filming the road.', 'The person is filming the road sitting in the passenger seat.', 'The person is drunk and holding the camera while driving.'], 'multiple_choice_answer': 'The person is driving the car and filming the road.', 'open_answer': 'The answer is that the person is driving the car.', 'scene_description': ""The scene is filmed from the first-person perspective inside a vehicle, creating an immersive experience. The driver is navigating through what appears to be a rural or semi-rural area, given the lush greenery visible outside. It's a sunny day, as suggested by the bright lighting and clear blue sky glimpsed through the windows. The vehicle's interior is mostly black, with hints of metallic accents on the steering wheel and dashboard, suggesting a modern make. As the video progresses, there's a quick, blurred transition indicating either rapid movement or a shift to another scene. The environment outside includes well-maintained roads bordered by grass and trees, hinting at a peaceful locale that's not overly busy—ideal for filming without interruptions. The colors are vibrant, with the green of the trees and grass contrasting against the blue sky and dark interior of the car.""}"
1CRnvUZEzGY,"(A) A Toyota Land Cruiser that is ready for rugged terrain. The video showcases a young man in a green shirt and hat standing next to a silver Toyota Land Cruiser. The Land Cruiser is equipped with a large rear window and a spare tire on the back, suggesting it is built for rugged terrain. Additionally, the driver's side door is open and a bumper is visible, providing further confirmation that this vehicle is designed for rug",(D) A Jeep that is ready for rugged terrain.,"{'video_id': '1CRnvUZEzGY', 'clip_id': '1CRnvUZEzGY-Scene-026', 'question': 'What is the specific make of the vehicle featured which appears ready for rugged terrain?', 'hint': ""In the video, there's a clear emphasis on a specific outdoor setting and a particular type of vehicle. The environment is filled with vibrant greenery and the sky is notably clear and blue. The individual is equipped with attire that suggests a casual, yet adventurous theme. He is addressing the viewers about a new platform aiming to cater to certain automotive aficionados. He uses his hands animatedly to emphasize the segmentation within car enthusiast circles."", 'multiple_choice': ['A Toyota Land Cruiser that is ready for rugged terrain.', 'A Land Rover that is ready for rugged terrain.', 'A Ford Bronco that is ready for rugged terrain.', 'A Jeep that is ready for rugged terrain.'], 'multiple_choice_answer': 'A Jeep that is ready for rugged terrain.', 'open_answer': 'The answer is a Jeep.', 'scene_description': ""A person is standing in a lush green field with a Jeep parked in the background. The person is wearing a casual olive green t-shirt with a graphic of a vehicle on it, paired with a beige baseball cap. It's bright and sunny with clear blue skies. The person is addressing the audience, discussing the launch of a new YouTube channel dedicated to Jeep enthusiasts. The channel aims to provide tailored content for a specific niche within the automotive community. The person gestures expressively with their hands while speaking, highlighting the division and overlap within automotive interests. The Jeep appears rugged and well-equipped for off-roading, hinting at the type of content the new channel may feature.""}"
1CRnvUZEzGY,(C) 1847.,(A) 1941.,"{'video_id': '1CRnvUZEzGY', 'clip_id': '1CRnvUZEzGY-Scene-039', 'question': ""What is the year on the person's t-shirt?"", 'hint': ""In the video, as the person strolls through a scenic area filled with nature's green bounty, he captures himself on camera. The day is radiant, illuminated by the sun streaming through the foliage overhead. He is donned in casual attire, sporting a cap and a graphic t-shirt that seems to resonate with vehicular theme."", 'multiple_choice': ['1941.', '1851.', '1847.', '1937.'], 'multiple_choice_answer': '1941.', 'open_answer': 'The answer is 1941.', 'scene_description': ""The speaker, likely the content creator, is holding the camera and filming themselves while walking. They discuss the evolution of their YouTube channel from diesel content to a broader scope. The background is lush with greenery, indicative of a forest or rural area. The sun filters through the trees, suggesting it's a bright day. They are wearing a cap and a t-shirt featuring truck graphics. Behind them, there's a Jeep on a dirt path, reinforcing the outdoor, adventurous theme. The Jeep appears to be modified for off-road use, with visible suspension lifts and larger tires. Overall, the scene suggests a personal narrative connected to the love of diesel and outdoor automotive adventures.""}"
1CRnvUZEzGY,"(B) Brown. Based on the video, the person wears a brown watch. The person is wearing a green shirt and a hat with a black adjustable strap. This matches with the statement in the video about a specific type of vehicle that is being promoted, and the person wears a brown watch that is consistent with a casual and outdoor lifestyle. Additionally, the person seems to be holding and taking a photo with a camera, indicating that they are documenting",(A) Black.,"{'video_id': '1CRnvUZEzGY', 'clip_id': '1CRnvUZEzGY-Scene-055', 'question': 'What is the color of the watch worn by the person in the video?', 'hint': ""In the video, there's a person advocating for a certain lifestyle associated with a particular type of vehicle. This person is wearing a casual garment adorned with a motif related to the vehicle being promoted."", 'multiple_choice': ['Black.', 'Brown.', 'Red.', 'Blue.'], 'multiple_choice_answer': 'Black.', 'open_answer': 'The answer is black.', 'scene_description': ""In an outdoor environment, likely a trail or unpaved road surrounded by lush greenery, the speaker, wearing a t-shirt with a motorcycle print, is promoting a chance to win a 2019 JL Unlimited and $10,000 cash. He advocates for the Jeep lifestyle and suggests driving one to understand its appeal. The speaker is standing with a forest backdrop, and a Jeep is visible in the background, reinforcing the promotion's relevance. The lighting is natural, suggesting it's daytime with ample sunlight filtering through the trees. The green foliage indicates it might be spring or summer. There's no evident action other than the speaker's gesticulation, emphasizing his point about experiencing Jeep Life firsthand.""}"
3AeuiYzrl_U,(C) A pier.,(B) A boat.,"{'video_id': '3AeuiYzrl_U', 'clip_id': '3AeuiYzrl_U-Scene-008', 'question': 'What is this object?', 'hint': ""In the video, there's a serene environment captured where someone is filming a first-person perspective of a walk in a park. The path they are on is accompanied by a large body of still water on one side, and the person being followed is dressed in dark clothing. There are signs of early autumn as some leaves on the mature trees have turned yellow. Amidst this setting, A blue object found on the water locating at the edge of the path."", 'multiple_choice': ['A jet ski.', 'A boat.', 'A pier.', 'A buoy.'], 'multiple_choice_answer': 'A boat.', 'open_answer': 'The answer is a boat.', 'scene_description': ""The video clip appears to be a first-person perspective as if we're seeing through the eyes of the person filming. They are walking along a tranquil park path next to a still body of water, possibly a pond or a lake, on their right. The path is lined with mature trees that show signs of early autumn as leaves are turning yellow. On the left, there's a boat overturned, resting on the edge of the path, suggesting recreational activities in the area. The person being followed is wearing dark attire and seems to be enjoying a casual walk in the park. The environment is peaceful, with no other disturbances apart from the natural sounds of the park. The lighting is soft and diffused, likely indicating either early morning or late afternoon. There's a bench and some rocks near the water, and it looks like a crisp day judging by the jackets worn.""}"
